日期,最高气温,最低气温
20170101,9,3
20170102,9,3
20170103,9,3
20170104,9,3
20170105,9,3
20170106,9,3
20170107,9,3
20170108,9,3
20170109,9,3
20170110,9,3
20170111,9,3
20170112,9,3
20170113,9,3
20170114,9,3
20170115,9,3
20170116,9,3
20170117,9,3
20170118,9,3
20170119,9,3
20170120,10,3
20170121,10,3
20170122,10,3
20170123,10,3
20170124,10,3
20170125,10,3
20170126,10,3
20170127,10,4
20170128,10,4
20170129,10,4
20170130,10,4
20170131,10,4
20170201,10,4
20170202,10,4
20170203,10,4
20170204,11,4
20170129,10,4
20170130,10,4
20170131,10,4
20170201,10,4
20170202,10,4
20170203,10,4
20170204,11,4
20170205,11,5
20170206,11,5
20170207,11,5
20170208,11,5
20170209,11,5
20170210,11,5
20170211,11,5
20170212,11,5
20170213,12,5
20170214,12,5
20170215,12,6
20170216,12,6
20170217,12,6
20170218,12,6
20170219,12,6
20170220,12,6
20170221,13,6
20170222,13,6
20170223,13,6
20170224,13,6
20170225,13,6
20170226,13,6
20170227,13,6
20170228,14,6
20170301,14,7
20170302,14,7
20170303,14,7
20170304,14,7
20170226,13,6
20170227,13,6
20170228,14,6
20170301,14,7
20170302,14,7
20170303,14,7
20170304,14,7
20170305,14,7
20170306,14,7
20170307,15,7
20170308,15,7
20170309,15,7
20170310,15,8
20170311,15,8
20170312,15,8
20170313,16,8
20170314,16,8
20170315,16,8
20170316,16,9
20170317,16,9
20170318,16,9
20170319,16,9
20170320,17,9
20170321,17,9
20170322,17,10
20170323,17,10
20170324,17,10
20170325,17,10
20170326,18,10
20170327,18,10
20170328,18,10
20170329,18,11
20170330,18,11
20170331,19,11
20170401,19,11
20170326,18,10
20170327,18,10
20170328,18,10
20170329,18,11
20170330,18,11
20170331,19,11
20170401,19,11
20170402,19,11
20170403,19,11
20170404,19,11
20170405,20,12
20170406,20,12
20170407,20,12
20170408,20,12
20170409,20,12
20170410,21,12
20170411,21,12
20170412,21,13
20170413,21,13
20170414,22,13
20170415,22,13
20170416,22,13
20170417,22,13
20170418,23,13
20170419,23,14
20170420,23,14
20170421,23,14
20170422,23,14
20170423,24,14
20170424,24,14
20170425,24,15
20170426,24,15
20170427,24,15
20170428,25,15
20170429,25,15
20170430,25,15
20170501,25,16
20170502,25,16
20170503,25,16
20170504,25,16
20170505,26,16
20170506,26,16
20170430,25,15
20170501,25,16
20170502,25,16
20170503,25,16
20170504,25,16
20170505,26,16
20170506,26,16
20170507,26,16
20170508,26,16
20170509,26,17
20170510,26,17
20170511,26,17
20170512,26,17
20170513,26,17
20170514,26,17
20170515,27,17
20170516,27,17
20170517,27,18
20170518,27,18
20170519,27,18
20170520,27,18
20170521,27,18
20170522,27,18
20170523,27,18
20170524,27,18
20170525,27,19
20170526,27,19
20170527,27,19
20170528,27,19
20170529,27,19
20170530,27,19
20170531,27,20
20170601,28,20
20170602,28,20
20170603,28,20
20170528,27,19
20170529,27,19
20170530,27,19
20170531,27,20
20170601,28,20
20170602,28,20
20170603,28,20
20170604,28,20
20170605,28,20
20170606,28,20
20170607,28,20
20170608,28,20
20170609,28,21
20170610,28,21
20170611,28,21
20170612,28,21
20170613,28,21
20170614,28,21
20170615,28,21
20170616,28,21
20170617,28,21
20170618,28,21
20170619,28,21
20170620,28,21
20170621,28,21
20170622,28,21
20170623,28,21
20170624,28,21
20170625,28,21
20170626,28,21
20170627,28,21
20170628,28,21
20170629,28,21
20170630,28,21
20170701,29,21
20170625,28,21
20170626,28,21
20170627,28,21
20170628,28,21
20170629,28,21
20170630,28,21
20170701,29,21
20170702,29,22
20170703,29,22
20170704,29,22
20170705,29,22
20170706,29,22
20170707,29,22
20170708,29,22
20170709,29,22
20170710,29,22
20170711,29,22
20170712,30,22
20170713,30,22
20170714,30,22
20170715,30,22
20170716,30,23
20170717,30,23
20170718,30,23
20170719,30,23
20170720,30,23
20170721,30,23
20170722,30,23
20170723,30,23
20170724,31,23
20170725,31,23
20170726,31,23
20170727,31,23
20170728,31,23
20170729,31,23
20170730,31,23
20170731,31,23
20170801,31,23
20170802,31,23
20170803,31,23
20170804,31,22
20170805,31,22
20170730,31,23
20170731,31,23
20170801,31,23
20170802,31,23
20170803,31,23
20170804,31,22
20170805,31,22
20170806,30,22
20170807,30,22
20170808,30,22
20170809,30,22
20170810,30,22
20170811,30,22
20170812,30,22
20170813,30,22
20170814,30,22
20170815,30,22
20170816,30,22
20170817,29,22
20170818,29,22
20170819,29,21
20170820,29,21
20170821,29,21
20170822,29,21
20170823,29,21
20170824,29,21
20170825,28,21
20170826,28,21
20170827,28,21
20170828,28,21
20170829,28,21
20170830,28,21
20170831,28,21
20170901,28,21
20170902,28,20
20170827,28,21
20170828,28,21
20170829,28,21
20170830,28,21
20170831,28,21
20170901,28,21
20170902,28,20
20170903,27,20
20170904,27,20
20170905,27,20
20170906,27,20
20170907,27,20
20170908,27,20
20170909,27,20
20170910,26,20
20170911,26,19
20170912,26,19
20170913,26,19
20170914,26,19
20170915,26,19
20170916,25,19
20170917,25,19
20170918,25,18
20170919,25,18
20170920,25,18
20170921,25,18
20170922,24,18
20170923,24,18
20170924,24,18
20170925,24,18
20170926,24,17
20170927,23,17
20170928,23,17
20170929,23,17
20170930,23,17
20171001,23,17
20171002,22,17
20171003,22,17
20171004,22,17
20171005,22,16
20171006,22,16
20171007,22,16
20171008,21,16
20171009,21,16
20171010,21,16
20171011,21,16
20171012,21,15
20171013,21,15
20171014,21,15
20171015,21,15
20171016,20,15
20171017,20,15
20171018,20,14
20171019,20,14
20171020,20,14
20171021,20,14
20171022,20,14
20171023,20,14
20171024,20,13
20171025,20,13
20171026,20,13
20171027,19,13
20171028,19,13
20171029,19,13
20171030,19,12
20171031,19,12
20171101,19,12
20171102,19,12
20171103,18,12
20171104,18,12
20171029,19,13
20171030,19,12
20171031,19,12
20171101,19,12
20171102,19,12
20171103,18,12
20171104,18,12
20171105,18,12
20171106,18,11
20171107,18,11
20171108,18,11
20171109,17,11
20171110,17,11
20171111,17,11
20171112,17,10
20171113,17,10
20171114,16,10
20171115,16,10
20171116,16,10
20171117,16,10
20171118,15,9
20171119,15,9
20171120,15,9
20171121,15,9
20171122,14,9
20171123,14,8
20171124,14,8
20171125,14,8
20171126,14,8
20171127,13,8
20171128,13,7
20171129,13,7
20171130,13,7
20171201,12,7
20171202,12,7
20171126,14,8
20171127,13,8
20171128,13,7
20171129,13,7
20171130,13,7
20171201,12,7
20171202,12,7
20171203,12,6
20171204,12,6
20171205,12,6
20171206,12,6
20171207,11,6
20171208,11,5
20171209,11,5
20171210,11,5
20171211,11,5
20171212,11,5
20171213,11,5
20171214,10,5
20171215,10,4
20171216,10,4
20171217,10,4
20171218,10,4
20171219,10,4
20171220,10,4
20171221,10,4
20171222,10,4
20171223,10,4
20171224,10,4
20171225,10,4
20171226,10,4
20171227,9,4
20171228,9,4
20171229,9,4
20171230,9,3
20171231,9,3
20180101,9,3
20180102,9,3
20180103,9,3
20180104,9,3
20180105,9,3
20180106,9,3
